"","A2V1","Block","ID","rank_data","BlockN","BlockN2"
"106",0,"main +noise+ condition6","NSP96",17,8,64
"107",0.1,"main +noise+ condition7","NSP96",40.5,9,81
"109",0.6,"main baseline +noise+","RHA99",110.5,1,1
"110",0,"main +noise+ condition1","RHA99",17,3,9
"111",0.3,"main +noise+ condition2","RHA99",74.5,4,16
"112",0.111111111111111,"main +noise+ condition3","RHA99",50.5,5,25
"113",0.2,"main +noise+ condition4","RHA99",60,6,36
"114",0.4,"main +noise+ condition5","RHA99",88,7,49
"115",0.666666666666667,"main +noise+ condition6","RHA99",115.5,8,64
"116",0.333333333333333,"main +noise+ condition7","RHA99",82,9,81
"118",0.9,"main baseline +noise+","RIT92",135,1,1
"119",0.9,"main +noise+ condition1","RIT92",135,3,9
"120",0.888888888888889,"main +noise+ condition2","RIT92",129.5,4,16
"121",1,"main +noise+ condition3","RIT92",150,5,25
"122",0.5,"main +noise+ condition4","RIT92",99,6,36
"123",0.9,"main +noise+ condition5","RIT92",135,7,49
"124",0.8,"main +noise+ condition6","RIT92",127.5,8,64
"125",1,"main +noise+ condition7","RIT92",150,9,81
"127",0.7,"main baseline +noise+","RLE01",120.5,1,1
"128",0.2,"main +noise+ condition1","RLE01",60,3,9
"129",0.4,"main +noise+ condition2","RLE01",88,4,16
"130",0.5,"main +noise+ condition3","RLE01",99,5,25
"131",0.333333333333333,"main +noise+ condition4","RLE01",82,6,36
"132",0.6,"main +noise+ condition5","RLE01",110.5,7,49
"133",0.444444444444444,"main +noise+ condition6","RLE01",92,8,64
"134",0.2,"main +noise+ condition7","RLE01",60,9,81
"136",0.666666666666667,"main baseline +noise+","SPR97",115.5,1,1
"137",0.7,"main +noise+ condition1","SPR97",120.5,3,9
"138",0.222222222222222,"main +noise+ condition2","SPR97",67.5,4,16
"139",0.5,"main +noise+ condition3","SPR97",99,5,25
"140",0.7,"main +noise+ condition4","SPR97",120.5,6,36
"141",0.5,"main +noise+ condition5","SPR97",99,7,49
"142",0.5,"main +noise+ condition6","SPR97",99,8,64
"143",0.4,"main +noise+ condition7","SPR97",88,9,81
"145",0.333333333333333,"main baseline +noise+","TNE97",82,1,1
"146",0,"main +noise+ condition1","TNE97",17,3,9
"147",0,"main +noise+ condition2","TNE97",17,4,16
"148",0.1,"main +noise+ condition3","TNE97",40.5,5,25
"149",0,"main +noise+ condition4","TNE97",17,6,36
"150",0,"main +noise+ condition5","TNE97",17,7,49
"151",0.222222222222222,"main +noise+ condition6","TNE97",67.5,8,64
"152",0.125,"main +noise+ condition7","TNE97",54,9,81
"154",0.5,"main baseline +noise+","TPR97",99,1,1
"155",0.1,"main +noise+ condition1","TPR97",40.5,3,9
"156",0.2,"main +noise+ condition2","TPR97",60,4,16
"157",0.1,"main +noise+ condition3","TPR97",40.5,5,25
"158",0.2,"main +noise+ condition4","TPR97",60,6,36
"159",0.2,"main +noise+ condition5","TPR97",60,7,49
